,OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,SecondLargestPropertyUseType,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),DefaultData,ComplianceStatus,Address,City,State,Latitude,Longitude,TotalGHGEmissions,GHGEmissionsIntensity,SecondLargestPropertyUseTypeGFA,ENERGYSTARScore,LargestPropertyUseTypeGFA
0,350,2015,NonResidential,Large Office,SECOND AND SPRING BUILDING,942000045,7,DOWNTOWN,1958,1.0,6.0,172842,25920,146922,"Data Center, Office, Parking",Office,Data Center,312.1,315.1,955.2,958.3,41092076.0,41478400.0,0.0,11583460.0,39524406.0,15693.0,1569312.0,False,Compliant,1100 2ND AVE,Seattle,WA,47.60601562,-122.33569636,358.88,1.09,39336.0,51.4,92310.0
1,400,2015,NonResidential,Small- and Mid-Sized Office,GALLAND & SENECA BUILDINGS,1974700175,7,DOWNTOWN,1906,1.0,6.0,98370,25920,72450,Office,Office,no information,66.3,66.5,207.5,207.7,6525887.0,6541579.0,0.0,1901522.0,6488262.0,379.0,37893.0,False,Compliant,1201 2ND AVE,Seattle,WA,47.60679898,-122.3371001,47.24,0.2,31552.6,45.0,98370.0
2,442,2015,NonResidential,Large Office,KING BROADCASTING,1991200870,7,LAKE UNION,1947,1.0,4.0,193788,37854,155934,"Data Center, Office, Other, Parking, Restaurant",Office,Parking,105.8,104.0,332.3,326.4,16760217.0,16463978.0,0.0,4912139.0,16760914.0,0.0,0.0,False,Compliant,333 DEXTER AVE N,Seattle,WA,47.6214758,-122.3430502,116.84,0.23,47539.0,59.0,138672.0
3,499,2015,NonResidential,Small- and Mid-Sized Office,ASIAN COUNSELING and REFERRAL SERVICE BUILDING,1426300170,2,GREATER DUWAMISH,2008,1.0,3.0,76598,21410,55188,"Office, Parking",Office,Parking,81.1,83.7,169.8,166.9,4476997.0,4617864.0,0.0,654779.0,2234200.0,22429.0,2242889.0,True,Compliant,3639 MARTIN LUTHER KING JR WAY S,Seattle,WA,47.57089656,-122.2974118,134.69,1.63,21410.0,76.0,55188.0
4,539,2015,NonResidential,Retail Store,UNIVERSITY CENTER,5335200380,4,NORTHEAST,1987,1.0,2.0,69492,0,69492,"Other, Retail Store",Retail Store,Other,5.9,5.9,18.4,18.4,408513.0,408513.0,0.0,119728.0,408530.0,0.0,0.0,True,Compliant,4500 9TH AVE NE,Seattle,WA,47.66172585,-122.3179607,2.85,0.02,0.0,100.0,69800.0
5,559,2015,NonResidential,Large Office,YALE & THOMAS,6847700105,7,LAKE UNION,1981,1.0,4.0,186971,0,186971,"Office, Parking",Office,Parking,67.7,72.6,179.1,184.2,12662456.0,13575377.0,0.0,2830466.0,9657951.0,30049.0,3004906.0,False,Compliant,325 EASTLAKE AVE E,Seattle,WA,47.6212428,-122.3297865,226.92,0.99,115477.0,86.0,186977.0
6,608,2015,NonResidential,Large Office,MERRILL PLACE HAMBACH - SELLER BUILDING,5247800200,2,DOWNTOWN,1913,1.0,7.0,154159,0,154159,Office,Office,no information,10.3,10.3,28.8,28.8,1990444.0,1990444.0,0.0,488031.0,1665232.0,3253.0,325281.0,False,Compliant,411 1ST AVE S,Seattle,WA,47.59865952,-122.33460999,28.88,0.14,90350.6,100.0,193154.0
7,675,2015,NonResidential,Medical Office,NINTH & JEFFERSON BLDG - HARBORVIEW,8590400545,3,EAST,2008,1.0,15.0,434475,250000,184475,"Medical Office, Parking",Medical Office,Parking,126.7,130.4,302.0,306.5,55030192.0,56652364.0,21474092.0,9834730.0,33557492.0,0.0,0.0,False,Compliant,908 JEFFERSON ST,Seattle,WA,47.60395194,-122.3240621,1891.47,4.02,250000.0,60.0,434475.0
8,704,2015,NonResidential,Large Office,401 ELLIOTT WEST,7666202110,7,MAGNOLIA / QUEEN ANNE,2000,1.0,4.0,129551,42500,87051,"Data Center, Office, Parking",Office,Parking,301.5,296.3,946.8,930.5,25764716.0,25321686.0,0.0,7551206.0,25765784.0,0.0,0.0,False,Compliant,401 ELLIOTT AVE W,Seattle,WA,47.62243869,-122.3637884,179.62,0.53,42500.0,1.0,80668.0
9,714,2015,NonResidential,Large Office,MARITIME BUILDING,7666202525,7,DOWNTOWN,1911,1.0,5.0,192960,32160,160800,"Office, Parking",Office,Parking,49.3,57.1,111.2,118.3,6669954.0,7723851.0,3054035.0,1059765.0,3616068.0,0.0,0.0,False,Compliant,911 WESTERN AVE,Seattle,WA,47.60373017,-122.3373671,260.94,1.27,32000.0,95.0,135173.0
10,838,2015,NonResidential,Medical Office,NORTHWEST MEDICAL CENTER,1978201145,3,EAST,1928,1.0,3.0,83448,15479,67969,"Medical Office, Office, Other",Medical Office,Office,93.9,107.3,176.9,189.0,6668456.0,7620321.0,0.0,779890.0,2661094.0,40075.0,4007472.0,False,Compliant,1001 BROADWAY,Seattle,WA,47.61142131,-122.3213375,231.39,2.64,27961.0,54.0,42527.0
11,19656,2015,NonResidential,Small- and Mid-Sized Office,1916 Boren Building,660002170,7,DOWNTOWN,1929,1.0,3.0,21600,0,21600,Office,Office,no information,6.2,7.5,19.5,23.5,133880.0,161886.0,0.0,39238.0,133885.0,0.0,0.0,False,Compliant,1916 BOREN AVE,Seattle,WA,47.61753888,-122.33278228,0.93,0.02,10344.0,53.2,21600.0
12,19658,2015,NonResidential,Small- and Mid-Sized Office,DENNY CENTER,660002230,7,DOWNTOWN,1937,1.0,2.0,28568,0,28568,Office,Office,no information,29.4,29.0,81.3,79.8,841242.0,827582.0,0.0,201799.0,688567.0,1527.0,152704.0,False,Compliant,1100 VIRGINIA ST,Seattle,WA,47.61832601,-122.33341322,12.91,0.35,15656.2,86.0,28568.0
13,19780,2015,NonResidential,Other,AURORA CHRYSLER PLYMOUTH,164000080,5,NORTHWEST,1968,1.0,1.0,21633,0,21633,Other,Other,no information,605.1,642.0,1080.2,1118.9,6293359.0,6676801.0,0.0,648669.0,2213351.0,40801.0,4080100.0,False,Compliant,13733 AURORA AVE N,Seattle,WA,47.72969445,-122.34543246,232.12,10.29,8686.2,38.8,10400.0
14,19967,2015,SPS-District K-12,K-12 School,QUEEN ANNE GYM (SPS-DISTRICT),811000005,7,MAGNOLIA / QUEEN ANNE,2001,1.0,1.0,35805,0,35805,K-12 School,K-12 School,no information,8.9,9.5,24.6,25.3,317581.0,340499.0,0.0,76836.0,262176.0,554.0,55417.0,True,Compliant,1431 2ND AVE N,Seattle,WA,47.63189062,-122.35355257,4.77,0.1,14313.6,100.0,35805.0
15,20617,2015,NonResidential,Retail Store,GRAND CENTRAL BAKERY,1824049074,2,GREATER DUWAMISH,1953,1.0,1.0,39900,0,39900,"Non-Refrigerated Warehouse, Retail Store",Retail Store,Non-Refrigerated Warehouse,21.7,25.9,40.9,45.4,866622.0,1036705.0,0.0,101986.0,347989.0,5186.0,518647.0,True,Compliant,21 S NEVADA ST,Seattle,WA,47.56540757,-122.340694,29.97,0.71,15000.0,30.0,25000.0
